nummer	path	filter	prompt	titel	autor	projektuebersicht
01	https://raw.githubusercontent.com/maroeplin/bvk-128-03/24cb1eb6567d228de45eb66904304d3bb036c731/Timecodes/054/054_Objekte_N%C3%B5ulik_Romy.jpg	Objekte	prompt eingeben	Titel der Arbeit	Nõulik Romy	noulik						
02	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/054/01_Szenen_Knauer_Sarah_monolith_05_01.jpg	Szenen	rectangular monolith made of roughly interwoven rattan, standing in dark enviroment, 8k high resolution photography	Monolith	Sarah Knauer	knauer
03	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Wutschke_Julia/01_Szenen_Wutschke_Touch_54.jpg	Szenen	Image to Image: hyperrealistic photography. cinematic image. natural light. monolith in background. astronauts in space suits. / Negative: comic style. illustrated style. bottle, glass, street, car, ugly, deformed, noisy, blurry, distorted, out of focus, bad anatomy, extra limbs, poorly drawn face, poorly drawn hands, missing fingers, orange lightning  2001 but make it TOUCH: new chapter  Julia Wutschke  wutschke									
05	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/054/03_Adaptionen_Schmidt_Monolith_054.jpg	Adaption	A realistic and detailed image of a steampunk monolith. The monolith is seen from a close-up perspective, as if the viewer is standing at its base and looking up at it. The monolith is rectangular and towers above the viewer. It is made of copper, brass, and other steampunk materials, such as gears, pipes, and valves. The monolith is also covered in leather. Steam rises from vents in the monolith. The monolith glows faintly from within, illuminating the night scene. The scene is set at night. The sky is dark blue, and there are a few stars visible. There are also a few small clouds in the sky. There is no landscape visible in the image. The overall scene is dark, cool, and slightly misty. It has a calm, mystical, and futuristic atmosphere.	Blick aus dem Monolithen auf dem Mond	Lena Schmidt	schmidt
06	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/054/01_Adaption_Niemann_Victoria_054.jpg	Adaption  Create a Bauhaus-style set design for the iconic monolith encounter scene in '2001: A Space Odyssey.' Focus on abstract, geometric forms and a harmonious color palette that complements the mysterious nature of the monolith.  monolith bauhaus  Victoria Niemann  niemann						
07	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/054/02_Adaption_Niemann_Victoria_054.jpg	Adaption  Create a Bauhaus-style set design for the iconic monolith encounter scene in '2001: A Space Odyssey.' Focus on abstract, geometric forms and a harmonious color palette that complements the mysterious nature of the monolith.  monolith bauhaus  Victoria Niemann  niemann						
08	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/054/03_Adaption_Niemann_Victoria_054.jpg	Adaption  Create a Bauhaus-style set design for the iconic monolith encounter scene in '2001: A Space Odyssey.' Focus on abstract, geometric forms and a harmonious color palette that complements the mysterious nature of the monolith.  monolith bauhaus  Victoria Niemann  niemann						
09	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/054/01_Szene_Zirk_Luisa_054_09.jpg	Szenen	stanley kubrick style "2001: A Space Odyssey" as a pixelated videogame perspektive  Arcade9  Luisa Zirk  zirk						
10	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Freynhagen_Hannah/01_Szenen_Freynhagen_Hannah_054.jpg	Szenen  museum showing astronaut suits digging with technical devices in a museum  Weltraumtests  Hannah Freynhagen  freynhagen						
11	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/054/02_Charaktere_Guth_Antonia_054_00.jpg	Adaptionen  Stanley Kubrik Style, "2001: A Space Odyssey" as a stop motion film, plasticine, hairy, abstract weird figure  Stop Motion  Antonia Guth  guth						
