name	path	filter	prompt	titel	autor	projektuebersicht
01  https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Guth_Antonia/03_Adaptionen_Guth_Antonia_004.jpg  Adaptionen  Stanley Kubrik Style, "2001: A Space Odyssey" as a stop motion film, plasticine  Stop Motion  Antonia Guth  guth
02  https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/006/03_Adaptionen_Guth_Antonia_006.jpg  Adaptionen  Stanley Kubrik Style, "2001: A Space Odyssey" as a stop motion film, plasticine, dead zebra and a leopard  Stop Motion  Antonia Guth  guth
03  https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/007/03_Adaptionen_Guth_Antonia_007.jpg  Adaptionen  Stanley Kubrik Style, "2001: A Space Odyssey" as a stop motion film, plasticine, weird animals in a desert  Stop Motion  Antonia Guth  guth
04  https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/011/03_Adaptionen_Guth_Antonia_011.jpg  Adaptionen  Stanley Kubrik Style, "2001: A Space Odyssey" as a stop motion film, plasticine  Stop Motion  Antonia Guth  guth
05  https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/012/03_Adaptionen_Guth_Antonia_012_00.jpg  Adaptionen  Stanley Kubrik Style, "2001: A Space Odyssey" as a stop motion film, plasticine  Stop Motion  Antonia Guth  guth
06  https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/006/03_Adaptionen_Guth_Antonia_006.jpg  Adaptionen  Stanley Kubrik Style, "2001: A Space Odyssey" as a stop motion film, plasticine, monkey screaming  Stop Motion  Antonia Guth  guth
07  https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/013/03_Adaptionen_Guth_Antonia_013.jpg  Adaptionen  Stanley Kubrik Style, "2001: A Space Odyssey" as a stop motion film, plasticine, weird monolith  Stop Motion  Antonia Guth  guth
08  https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/016/03_Adaptionen_Guth_Antonia_016.jpg  Adaptionen  Stanley Kubrik Style, "2001: A Space Odyssey" as a stop motion film, plasticine, monkey, bones on the ground  Stop Motion  Antonia Guth  guth
09  https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/017/03_Adaptionen_Guth_Antonia_017.jpg  Adaptionen  Stanley Kubrik Style, "2001: A Space Odyssey" as a stop motion film, plasticine, weird landscape  Stop Motion  Antonia Guth  guth
10  https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/021/03_Adaptionen_Guth_Antonia_021.jpg  Adaptionen  Stanley Kubrik Style, "2001: A Space Odyssey" as a stop motion film, plasticine,  Stop Motion  Antonia Guth  guth
11  https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/022/03_Adaptionen_Guth_Antonia_022.jpg  Adaptionen  Stanley Kubrik Style, "2001: A Space Odyssey" as a stop motion film, plasticine, weird figure  Stop Motion  Antonia Guth  guth
12  https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/027/03_Adaptionen_Guth_Antonia_027.jpg  Adaptionen  SStanley Kubrik Style, "2001: A Space Odyssey" as a stop motion film, plasticine, hairy, weird interior  Stop Motion  Antonia Guth  guth
13  https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/033/03_Adaptionen_Guth_Antonia_033.jpg  Adaptionen  Stanley Kubrik Style, "2001: A Space Odyssey" as a stop motion film, plasticine, hairy, weird abstract figures  Stop Motion  Antonia Guth  guth
14  https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/035/03_Adaptionen_Guth_Antonia_035.jpg  Adaptionen  SStanley Kubrik Style, "2001: A Space Odyssey" as a stop motion film, plasticine, hairy  Stop Motion  Antonia Guth  guth
15  https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/042/03_Adaptionen_Guth_Antonia_042.jpg  Adaptionen  Stanley Kubrik Style, "2001: A Space Odyssey" as a stop motion film, plasticine, hairy,  abstract weird figures doing a conference  Stop Motion  Antonia Guth  guth
16  https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/046/03_Adaptionen_Guth_Antonia_046.jpg  Adaptionen  Stanley Kubrik Style, "2001: A Space Odyssey" as a stop motion film, plasticine, hairy, weird space ship  Stop Motion  Antonia Guth  guth
17  https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/047/03_Adaptionen_Guth_Antonia_047.jpg  Adaptionen  Stanley Kubrik Style, "2001: A Space Odyssey" as a stop motion film, plasticine, hairy  Stop Motion  Antonia Guth  guth
18  https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/048/03_Adaptionen_Guth_Antonia_048.jpg  Adaptionen  Stanley Kubrik Style, "2001: A Space Odyssey" as a stop motion film, plasticine, hairy  Stop Motion  Antonia Guth  guth
19  https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/049/03_Adaptionen_Guth_Antonia_049.jpg  Adaptionen  Stanley Kubrik Style, "2001: A Space Odyssey" as a stop motion film, plasticine, hairy  Stop Motion  Antonia Guth  guth
20  https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/052/03_Adaptionen_Guth_Antonia_052.jpg  Adaptionen  Stanley Kubrik Style, "2001: A Space Odyssey" as a stop motion film, plasticine, hairy, abstract weird figure  Stop Motion  Antonia Guth  guth
